Column1,Column2,Column3,Column4,Column5
정보통신,알바몬,내 눈에는 다 동일한 핑크색인데..,8.01 (2022.07.14,https://play.tvcf.co.kr/879579
정보통신,삼성 스마트싱스,스마트싱스 일상도감_TV를 지켜라,7.13 (2022.07.14,https://play.tvcf.co.kr/879530
정보통신,KT 알파,trailer film,021.08.09 (2022.07.14,https://play.tvcf.co.kr/879430
정보통신,LG유플러스 유독,[WHY NOT] 유독 편리 티져,7.11 (2022.07.14,https://play.tvcf.co.kr/879433
정보통신,LG유플러스 유독,[WHY NOT] 유독 할인 티져,7.11 (2022.07.14,https://play.tvcf.co.kr/879432
정보통신,굿리치,보험은 굿리치 하나로_막막한 보험금 청구,7.11 (2022.07.12,https://play.tvcf.co.kr/879202
정보통신,삼성 스마트싱스,스마트싱스 일상도감_오늘은 치킨각,7.11 (2022.07.12,https://play.tvcf.co.kr/879203
정보통신,틱톡,틱톡스토리,7.11 (2022.07.12,https://play.tvcf.co.kr/879168
정보통신,틱톡,타임머신 인터뷰_요리용디,7.08 (2022.07.11,https://play.tvcf.co.kr/879041
정보통신,틱톡,타임머신 인터뷰_위너 이승훈 15s,7.08 (2022.07.11,https://play.tvcf.co.kr/879040
정보통신,틱톡,타임머신 인터뷰_원정맨,7.08 (2022.07.11,https://play.tvcf.co.kr/879039
정보통신,틱톡,타임머신 인터뷰_위너 이승훈,7.08 (2022.07.11,https://play.tvcf.co.kr/879038
정보통신,마켓컬리,컬리로 장보기 딱 좋은 계절 - 열대야,7.01 (2022.07.11,https://play.tvcf.co.kr/879033
정보통신,마켓컬리,컬리로 장보기 딱 좋은 계절 - 무더위,7.01 (2022.07.11,https://play.tvcf.co.kr/879032
정보통신,땡겨요,Teaser_수렵도,7.11 (2022.07.11,https://play.tvcf.co.kr/879030
정보통신,삼성 스마트싱스,스마트싱스 일상도감_우리 딸은 마법사,7.09 (2022.07.11,https://play.tvcf.co.kr/878884
정보통신,틱톡,#토트넘틱톡챌린지,7.09 (2022.07.11,https://play.tvcf.co.kr/879003
정보통신,삼성 스마트싱스,스마트싱스 일상도감_마포 와이너리,7.08 (2022.07.08,https://play.tvcf.co.kr/878880
정보통신,삼성 스마트싱스,스마트싱스 일상도감_존엄성 지킴이,7.08 (2022.07.08,https://play.tvcf.co.kr/878879
정보통신,삼성 스마트싱스,스마트싱스 일상도감_뱀파이어 IN THE HOUSE,7.07 (2022.07.08,https://play.tvcf.co.kr/878716
정보통신,삼성 스마트싱스,스마트싱스 일상도감_속보! 새 옷 루팡 현장 검거돼,7.07 (2022.07.08,https://play.tvcf.co.kr/878715
정보통신,삼성 스마트싱스,스마트싱스 일상도감_에어 소믈리에가 사는 법,7.07 (2022.07.08,https://play.tvcf.co.kr/878809
정보통신,삼성 스마트싱스,스마트싱스 일상도감_우리아이 건강하시계,7.07 (2022.07.08,https://play.tvcf.co.kr/878808
정보통신,팡고,구글 광고의 성과는 팡고 이전과 이후로 나뉜다,7.07 (2022.07.08,https://play.tvcf.co.kr/878811
정보통신,네이버,"응, 네이버에서 쇼핑하면 포인트부자",7.01 (2022.07.07,https://play.tvcf.co.kr/878713
정보통신,네이버,"응, 네이버에서 쇼핑하면 포인트 잘 쌓임",7.07 (2022.07.07,https://play.tvcf.co.kr/878712
정보통신,굿리치,보험은 굿리치 하나로_복잡한 보험금 청구,8.03 (2022.07.05,https://play.tvcf.co.kr/878353
정보통신,KT,WeChat KT,6.15 (2022.07.05,https://play.tvcf.co.kr/878348
정보통신,애플워치 7,사상 가장 탁월한 내구성,7.04 (2022.07.05,https://play.tvcf.co.kr/878332
정보통신,SK브로드밴드 B tv,CATV 요금제 기남방송,6.25 (2022.07.04,https://play.tvcf.co.kr/878210
정보통신,SK브로드밴드 B tv,CATV 요금제 우리동네,6.25 (2022.07.04,https://play.tvcf.co.kr/878209
정보통신,카약,카약돼_커플,6.29 (2022.07.04,https://play.tvcf.co.kr/878197
정보통신,카약,카약돼_싱글,6.29 (2022.07.04,https://play.tvcf.co.kr/878198
정보통신,카약,카약돼,6.29 (2022.07.04,https://play.tvcf.co.kr/878196
정보통신,넷플릭스,블랙의 신부,7.01 (2022.07.02,https://play.tvcf.co.kr/878143
정보통신,애플TV 플러스,여기가 SF맛집,7.01 (2022.07.02,https://play.tvcf.co.kr/878145
정보통신,호텔스컴바인,조나 단순한 호텔 찾기,7.01 (2022.07.02,https://play.tvcf.co.kr/878033
정보통신,삼성 스마트싱스,SmartThings: Think Green at Home,6.30 (2022.07.01,https://play.tvcf.co.kr/878026
정보통신,로톡,묻지 말고 로톡하셔(15s),7.01 (2022.07.01,https://play.tvcf.co.kr/877992
정보통신,로톡,묻지 말고 로톡하셔(6s),7.01 (2022.07.01,https://play.tvcf.co.kr/877995
정보통신,로톡,검색말고 로톡하셔(15s),7.01 (2022.07.01,https://play.tvcf.co.kr/877997
정보통신,로톡,묻지 말고 로톡하셔(30s),7.01 (2022.07.01,https://play.tvcf.co.kr/877994
정보통신,로톡,검색말고 로톡하셔(6s),7.01 (2022.07.01,https://play.tvcf.co.kr/877996
정보통신,로톡,검색말고 로톡하셔(30s),7.01 (2022.07.01,https://play.tvcf.co.kr/877993
정보통신,카카오워크,우리는 카카오워크로 일해요,021.11.08 (2022.07.01,https://play.tvcf.co.kr/877025
정보통신,냥코대전쟁,냥코대전쟁 8주년 통조림,6.27 (2022.06.28,https://play.tvcf.co.kr/876750
정보통신,틱톡,당신의 모든 것을 존중,6.24 (2022.06.27,https://play.tvcf.co.kr/876343
정보통신,삼성 스마트싱스,일상도감_고3이 대장,6.25 (2022.06.27,https://play.tvcf.co.kr/876313
정보통신,배달의민족,"도전해봐, 2022 배민리뷰챔피언십!",6.22 (2022.06.27,https://play.tvcf.co.kr/876305
정보통신,삼성 스마트싱스,스마트싱스 일상도감_환경보호에 진심,6.25 (2022.06.27,https://play.tvcf.co.kr/876315
정보통신,네이버 장보기,"모든 마트 오늘 도착, 네이버 장보기",6.01 (2022.06.27,https://play.tvcf.co.kr/876304
정보통신,삼성 스마트싱스,스마트싱스 일상도감_가랏 펫케어!,6.25 (2022.06.27,https://play.tvcf.co.kr/876316
정보통신,삼성 스마트싱스,스마트싱스 일상도감_밥은 먹고 다니냐,6.25 (2022.06.27,https://play.tvcf.co.kr/876319
정보통신,삼성 스마트싱스,스마트싱스 일상도감_참 쉽죠?,6.25 (2022.06.27,https://play.tvcf.co.kr/876318
정보통신,삼성 스마트싱스,스마트싱스 일상도감_스마트 메탈 싱스,6.25 (2022.06.27,https://play.tvcf.co.kr/876317
정보통신,삼성 스마트싱스,스마트싱스 일상도감,6.24 (2022.06.26,https://play.tvcf.co.kr/876311
정보통신,터치수원,수원시 스마트관광 앱 터치수원,6.24 (2022.06.24,https://play.tvcf.co.kr/876303
정보통신,미르M: 뱅가드 앤 배가본드,뱅가드의 길,6.23 (2022.06.24,https://play.tvcf.co.kr/876264
정보통신,미르M: 뱅가드 앤 배가본드,배가본드의 길,6.23 (2022.06.24,https://play.tvcf.co.kr/876262
정보통신,원스토어 디아블로 이모탈,론칭,6.01 (2022.06.23,https://play.tvcf.co.kr/876202
정보통신,원스토어 디아블로 이모탈,론칭,6.01 (2022.06.23,https://play.tvcf.co.kr/876201
정보통신,원스토어 디아블로 이모탈,론칭,6.01 (2022.06.23,https://play.tvcf.co.kr/876200
정보통신,원스토어 디아블로 이모탈,론칭,5.01 (2022.06.23,https://play.tvcf.co.kr/876199
정보통신,DIGICO KT 기가아이즈,"112회 한문철 변호사: 역대급 빌런 출연, 무인매장 난동 중 잡을 수 있을지 의문입니다",6.01 (2022.06.23,https://play.tvcf.co.kr/876203
정보통신,DIGICO KT 세이프메이트,119회 한문철 변호사: 목격자 없는 화재현장에 출동해보니 불이 안 보입니다,6.01 (2022.06.23,https://play.tvcf.co.kr/876204
정보통신,구글플레이,맛깔나는 모험 맛집_미르M,6.24 (2022.06.23,https://play.tvcf.co.kr/876184
정보통신,쿠팡플레이,안나,6.18 (2022.06.23,https://play.tvcf.co.kr/875622
정보통신,스포티파이,나보다 날 더 잘 아는 2022,6.08 (2022.06.22,https://play.tvcf.co.kr/876073
정보통신,파라마운트+티빙,헤일로 30초,6.16 (2022.06.22,https://play.tvcf.co.kr/876066
정보통신,미르M: 뱅가드 앤 배가본드,황정민 추천작,6.21 (2022.06.22,https://play.tvcf.co.kr/876036
정보통신,구글플레이,맛깔나는 전투 맛집_미르M,6.21 (2022.06.22,https://play.tvcf.co.kr/876027
정보통신,리디,상수리나무 아래에 빠지면 출구는 없어_판타지,6.13 (2022.06.21,https://play.tvcf.co.kr/875883
