,대여소,Station,Distance
420,이마트 버스정류장(서부경찰서 방면),응암,0.005010120572851792
421,의정관,국회의사당,0.0040613150016381595
422,문정동 글샘 공원,장지,0.006189113966438211
423,신용산역 6번출구 앞,신용산,0.0011412821747970212
424,청암자이아파트앞,마포,0.005786611955093684
425,YP 센터 앞,영등포구청,0.005558712393670004
426,신동아아파트,도림천,0.008417883560136941
427,광화문역 5번출구,광화문,0.0014474257474574332
428,숙명여대앞 버스정류소 주변,효창공원앞,0.006441495224585021
429,충북 미래관,영등포시장,0.006944217465635807
430,SBS방송국,오목교,0.005262833292027496
431,우장산역 헤링턴타워 앞,우장산,0.0021501786963912506
432,양남사거리1,문래,0.006365762655020821
433,신도림4차 e편한세상 아파트 1109동 앞,도림천,0.004512119618316683
434,현대하이페리온,목동,0.004994401441153555
435,백련산로 녹번센트레빌,역촌,0.007505230071151148
436,초원아파트 앞,국회의사당,0.006988918554563318
437,서울미술관,무악재,0.018408252821297384
438,보광동 삼성리버빌아파트 앞,한남,0.009432326778158046
439,우성아파트사거리 (기업은행앞),강남,0.004232661477707102
440,"발산역 1번, 9번 인근 대여소",발산,0.0006061307782908113
441,베르가모앞,용산,0.007489796830518414
442,래미안서초스위트앞,신논현,0.004087800435716821
443,국회도서관,국회의사당,0.002453963041878732
444,태평양물산빌딩,구로디지털단지,0.006226884582263821
445,서울역 서부교차로2,서울,0.003981175784917162
446,원풍빌라앞,새절,0.007580474027303041
447,등촌태영아파트,증미,0.0027271032604071336
448,원효로다목적체육관 앞,효창공원앞,0.007306877300188443
449,겸재교 진입부,중랑,0.009322888895831232
450,꿈돌이공원 앞,화곡,0.007020980934571576
451,신정교 하부,도림천,0.0059605305971712225
452,성원2차 아파트,등촌,0.008779219831872917
453,가산롯데아이티캐슬,가산디지털단지,0.004939395575622599
454,영등포시장역 포레나영등포,영등포시장,0.0007910013161235345
455,공덕역 2번출구,공덕,0.0014837596646511224
456,우리은행 시흥남자동화점 앞,금천구청,0.01182050248628023
457,서울숲 관리사무소,서울숲,0.002742817455751421
458,안국역 5번출구 앞,안국,0.0007552698998431285
459,파크타워 104동 앞,이촌,0.002504571018939884
460,KBS 스포츠월드,가양,0.007229899542162147
461,서울강월초등학교 앞,신정네거리,0.01842458478908707
462,웨스틴 조선호텔,시청,0.002441366972017045
463,대림우성아파트 사거리,대림,0.004866656342468464
464,서대문자연사박물관 입구,홍제,0.015985797121403147
465,신정이펜하우스314동,까치울,0.02155879030429495
466,9호선종합운동장역 9번출구,종합운동장,0.0046061057004600555
467,LG한강 자이아파트 앞,이촌,0.0038355105709045956
468,잠실주공 521동 건너편,잠실,0.006322748978760426
469,봉천역 3번출구,봉천,0.0030190331068000805
470,강서구청사거리(부민병원),가양,0.005800509405768016
471,정동사거리,서대문,0.0034486237478766404
472,보라매공원 정문,보라매,0.003840366567608443
473,양천향교역 7번출구앞,양천향교,0.0008254340492162619
474,성북3교 위,성신여대입구,0.002760806816304372
475,석촌고분역 2번 출구,석촌,0.00997929330755314
476,봉림교 교통섬,신림,0.002829875208607558
477,청구성심병원 앞,연신내,0.0022308148368033525
